,hp,atk,def,spatk,spdef,spd,t11,t12,t21,t22,win
0,-20.0,-6.0,10.0,-15.0,10.0,-19.0,1.0,1.0,0.5,1.0,0.0
1,0.0,-39.0,-18.0,18.0,39.0,0.0,2.0,1.0,2.0,1.0,0.0
2,-20.0,-35.0,10.0,-45.0,10.0,0.0,1.0,1.0,1.0,1.0,0.0
3,-37.0,-80.0,-50.0,10.0,-50.0,-28.0,0.5,1.0,1.0,1.0,0.0
4,50.0,50.0,-105.0,105.0,-160.0,50.0,2.0,1.0,1.0,2.0,1.0
5,-10.0,-3.0,-100.0,7.0,-100.0,5.0,0.5,0.5,1.0,1.0,1.0
6,-25.0,0.0,10.0,-45.0,-50.0,-25.0,1.0,0.5,1.0,1.0,0.0
7,-80.0,-20.0,-70.0,-65.0,-85.0,-55.0,0.0,1.0,1.0,1.0,0.0
8,0.0,12.0,28.0,-23.0,-28.0,-29.0,1.0,1.0,1.0,1.0,0.0
9,5.0,-25.0,-10.0,5.0,-20.0,-5.0,1.0,1.0,0.5,1.0,0.0
10,10.0,10.0,-25.0,-40.0,-25.0,-25.0,1.0,1.0,1.0,1.0,0.0
11,53.0,99.0,5.0,17.0,25.0,78.0,1.0,1.0,0.0,1.0,1.0
12,-50.0,-90.0,-35.0,-60.0,-65.0,-30.0,1.0,1.0,1.0,1.0,0.0
13,-25.0,-15.0,15.0,15.0,-10.0,25.0,1.0,1.0,0.5,1.0,1.0
14,30.0,70.0,100.0,1.0,70.0,5.0,2.0,2.0,1.0,1.0,1.0
15,-27.0,-32.0,11.0,3.0,12.0,-21.0,1.0,1.0,1.0,1.0,0.0
16,40.0,0.0,5.0,-30.0,-5.0,-55.0,1.0,1.0,1.0,1.0,0.0
17,-55.0,-60.0,-20.0,-20.0,15.0,0.0,1.0,1.0,1.0,1.0,0.0
18,20.0,95.0,-62.0,90.0,-80.0,62.0,2.0,0.5,2.0,2.0,1.0
19,-21.0,45.0,0.0,1.0,-25.0,41.0,1.0,1.0,1.0,1.0,1.0
20,-1.0,-59.0,-32.0,21.0,6.0,-20.0,1.0,1.0,1.0,1.0,0.0
21,26.0,-8.0,-15.0,-35.0,-30.0,0.0,0.5,1.0,1.0,2.0,0.0
22,-5.0,-15.0,-40.0,-80.0,-5.0,-40.0,1.0,2.0,2.0,1.0,0.0
23,35.0,10.0,20.0,-100.0,-60.0,20.0,2.0,1.0,2.0,0.5,1.0
24,-10.0,-40.0,-10.0,-5.0,-10.0,-73.0,1.0,0.5,1.0,1.0,0.0
25,6.0,-60.0,10.0,-30.0,54.0,20.0,1.0,1.0,1.0,0.5,1.0
26,-25.0,-31.0,15.0,14.0,-5.0,-44.0,1.0,1.0,1.0,1.0,0.0
27,-4.0,-11.0,26.0,8.0,0.0,-26.0,2.0,0.5,1.0,1.0,0.0
28,-5.0,-20.0,16.0,-55.0,-9.0,40.0,1.0,1.0,1.0,1.0,1.0
29,-16.0,61.0,36.0,-35.0,-33.0,5.0,2.0,1.0,1.0,1.0,1.0
30,-3.0,65.0,-40.0,-35.0,-50.0,-42.0,1.0,1.0,1.0,1.0,0.0
31,-5.0,-50.0,-10.0,5.0,60.0,-40.0,1.0,0.5,1.0,1.0,0.0
32,-10.0,-15.0,-25.0,35.0,5.0,-100.0,0.5,0.5,1.0,1.0,0.0
33,5.0,25.0,47.0,65.0,32.0,36.0,1.0,2.0,1.0,1.0,1.0
34,-30.0,-50.0,-63.0,0.0,-25.0,38.0,0.5,2.0,1.0,1.0,0.0
35,11.0,-81.0,-82.0,-3.0,-38.0,-32.0,2.0,1.0,2.0,1.0,0.0
36,12.0,45.0,29.0,5.0,29.0,-12.0,1.0,1.0,2.0,1.0,0.0
37,-22.0,-20.0,20.0,-75.0,-30.0,2.0,1.0,1.0,1.0,1.0,1.0
38,33.0,-30.0,16.0,20.0,51.0,-45.0,1.0,1.0,0.5,2.0,0.0
39,10.0,-10.0,4.0,-30.0,4.0,-23.0,1.0,1.0,1.0,1.0,0.0
40,15.0,-10.0,15.0,-29.0,-5.0,-22.0,1.0,1.0,1.0,1.0,0.0
